Nationality ,FIFA Ranking ,National Team Kit Sponsor,Position,National Team Jersey Number,Player DOB,Club ,Player Name , Appearances,Goals Scored ,Assists Provided ,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90,Save Percentage,Clean Sheets,Brand Sponsor/Brand Used
Denmark,18,Hummel,DF,17,"Feb 21, 1991",Trabzonspor,Jens Stryger Larsen,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Denmark,18,Hummel,DF,18,"May 31, 1989",Brondby,Daniel Wass,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Denmark,18,Hummel,DF,13,"July 11, 1997",Leeds United,Rasmus Kristensen,3,0,0,1.59,0.80,3.58,6.77,-,-,Adidas
Denmark,18,Hummel,DF,5,"May 20, 1997",Atalanta,Joakim Maehle,3,0,0,3.25,0.72,3.25,5.42,-,-,Adidas
Denmark,18,Hummel,DF,2,"May 31, 1996",Crystal Palace,Joachim Andersen,3,0,1,N.A,N.A,N.A,N.A,-,-,Nike
Denmark,18,Hummel,DF,8,"Sep 3, 1991",Sevilla,Thomas Delaney,1,0,0,0.00,0.00,0.00,8.00,-,-,Nike
Denmark,18,Hummel,DF,3,"Oct 14, 1998",Galatasaray,Victor Nelsson,1,0,0,0.00,2.00,0.00,10.00,-,-,Adidas
Denmark,18,Hummel,DF,26,"Dec 9, 1997",Benfica,Alexander Bah,2,0,0,0.50,4.06,N.A,N.A,-,-,Nike
Denmark,18,Hummel,MF,10,"Feb 14, 1992",Manchester United,Christian Eriksen,3,0,0,1.33,0.33,0.33,0.67,-,-,Nike
Denmark,18,Hummel,MF,15,"Mar 10, 1994",Brentford,Christian Norgaard,1,0,0,N.A,N.A,N.A,N.A,-,-,Puma
Denmark,18,Hummel,MF,23,"Aug 5, 1995",Tottenham,Pierre-Emile Hojbjerg,3,0,0,0.67,1.33,1.33,2.66,-,-,Adidas
Denmark,18,Hummel,MF,7,"Jan 1, 1996",Brentford,Mathias Jensen,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Denmark,18,Hummel,FW,24,"May 20, 1996",Hoffenheim ,Robert Skov,1,0,0,1.00,0.00,0.00,0.00,-,-,Adidas
Denmark,18,Hummel,FW,9,"Jun 5, 1991",Espanyol,Martin Braithwaite,2,0,0,1.75,0.00,0.00,2.62,-,-,Nike
Denmark,18,Hummel,FW,21,"Mar 16, 1993",Copenhagen,Andreas Cornelius,3,0,0,0.98,0.00,0.00,N.A,-,-,Nike
Denmark,18,Hummel,FW,12,"Oct 6, 1997",Sevilla,Kasper Dolberg,3,0,0,1.59,0.00,0.80,3.19,-,-,Adidas
Denmark,18,Hummel,FW,11,"Dec 29, 1999",Club Brugge,Andreas Skov Olsen,2,0,0,1.34,0.00,0.00,2.01,-,-,Nike
Denmark,18,Hummel,FW,14,"Jul 3, 2000",Brentford,Mikkel Damsgaard,3,0,0,0.60,0.60,2.42,3.02,-,-,Nike
Denmark,18,Hummel,FW,19,"Feb 7, 1999",Wolfsburg,Jonas Wind,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Denmark,18,Hummel,FW,25,"Feb 29, 2000",Eintracht Frankfurt,Jesper Lindstrom,3,0,0,5.40,0.00,0.45,4.95,-,-,Adidas
Denmark,18,Hummel,FW,20,"Jun 15, 1994",RB Leipzig,Yussuf Yurary Poulsen,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Tunisia,30,Kappa,GK,16,"Jan 27, 1997",CS Sfaxien,Aymen Dahmen,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Adidas
Tunisia,30,Kappa,GK,26,"Mar 5, 1995",Club Africain,Mouez Hassen,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Nike
Tunisia,30,Kappa,GK,1,"Sep 14, 1984",Etoile du Sahel,Balbouli,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Nike
Tunisia,30,Kappa,GK,22,"Nov 29, 1994",US Monastir,Bechir Ben Saïd,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Adidas
Tunisia,30,Kappa,DF,20,"Jun 25, 1996",Luzern,Mohamed Drager,2,0,0,1.34,0.67,3.36,7.38,-,-,Adidas
Tunisia,30,Kappa,DF,21,"Nov 5, 1995",Atromitos,Wajdi Kechrida,3,0,0,3.30,0.00,2.48,4.96,-,-,Nike
Tunisia,30,Kappa,DF,2,"Mar 9, 1990",Kuwait SC,Bilel Ifa,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Tunisia,30,Kappa,DF,3,"May 26, 1998",Lorient,Montassar Talbi,3,0,0,0.00,0.33,1.00,7.00,-,-,Adidas
Tunisia,30,Kappa,DF,6,"Jun 19, 1995",Salernitana,Dylan Bronn,2,0,0,0.00,0.00,1.66,4.41,-,-,Nike
Tunisia,30,Kappa,DF,4,"Jul 2, 1993",Esperalace,Yassine Meriah,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Tunisia,30,Kappa,DF,5,"Feb 18, 1995",Club Africain,Nader Ghandri,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Tunisia,30,Kappa,DF,12,"Jan 1, 1990",Al Ahly,Ali Maaloul,1,0,0,0.00,0.00,1.00,1.00,-,-,Adidas
Tunisia,30,Kappa,DF,24,"Dec 20, 1993",Caen,Ali Abdi,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Tunisia,30,Kappa,MF,17,"May 10, 1995",FC Koln,Ellyes Skhiri,3,0,0,0.67,2.33,3.33,5.00,-,-,Nike
Tunisia,30,Kappa,MF,14,"Dec 13, 1996",Ferencvaros,Aissa Laidouni,3,0,1,1.10,1.10,1.10,1.47,-,-,Adidas
Tunisia,30,Kappa,MF,13,"Mar 18, 1992",Al-Duhail,Ferjani Sassi,2,0,0,1.00,1.96,3.91,N.A,-,-,Nike
Tunisia,30,Kappa,MF,18,"Feb 28, 1994",Esperance de Tunis,Ghailene Chaalali,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Tunisia,30,Kappa,MF,8,"Jan 21, 2003",Manchester United,Hannibal Mejbri,1,0,0,0.00,N.A,N.A,N.A,-,-,Adidas
Tunisia,30,Kappa,MF,15,"Sep 6, 1999",Esperance de Tunis,Mohamed Ali Ben Romdhane,1,0,0,1.22,0.00,6.08,N.A,-,-,Nike
Tunisia,30,Kappa,FW,19,"Feb 12, 1993",Zamalek,Seifeddine Jaziri,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Tunisia,30,Kappa,FW,26,"Jul 27, 1992",Al-Ettifaq,Naim Sliti,2,0,0,4.78,0.00,2.39,N.A,-,-,Adidas
Tunisia,30,Kappa,FW,11,"Jan 6, 1992",Kuwait SC,Taha Yassine Khenissi,2,0,0,0.00,0.00,0.00,3.33,-,-,Nike
Tunisia,30,Kappa,FW,25,"Mar 16, 2001",Brondby,Anis Ben Slimane,2,0,0,0.60,0.60,1.80,9.00,-,-,Nike
Tunisia,30,Kappa,FW,9,"Dec 25, 1991",OB,Issam Jebali,3,0,0,0.98,0.00,1.48,4.91,-,-,Mizuno
Tunisia,30,Kappa,FW,10,"Feb 8, 1991",Montpellier,Wahbi Khazri,2,1,0,1.00,0.00,2.17,4.34,-,-,Nike
Tunisia,30,Kappa,FW,7,"Oct 28, 1990",Al-Duhail,Youssef Msakni,2,0,0,2.65,0.00,1.59,9.00,-,-,Nike
Germany,14,Adidas,GK,1,"Mar 27, 1986",Bayern Munich,Manuel Neuer,3,-,-,-,-,-,-,61.54%,0%,Adidas
Germany,14,Adidas,GK,22,"Apr 30, 1992",Barcelona,Marc-Andre ter Stegen,0,-,-,-,-,-,-,-,-,Adidas
Germany,14,Adidas,GK,12,"Jul 8, 1990",Eintracht Frankfurt,Kevin Trapp,0,-,-,-,-,-,-,-,-,Adidas
Germany,14,Adidas,DF,2,"Mar 3, 1993",Real Madrid,Antonio Rudiger,3,0,0,0.00,0.00,0.67,5.67,-,-,Nike
Germany,14,Adidas,DF,4,"Jan 18, 1994",Freiburg,Matthias Ginter,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Germany,14,Adidas,DF,15,"Sep 3, 1995",Borussia Dortmund,Niklas Sule,3,0,0,0.00,0.00,1.67,6.33,-,-,Nike
Germany,14,Adidas,DF,5,"Sep 21, 1996",West Ham,Thilo Kehrer,1,0,0,0.00,2.57,7.71,7.71,-,-,Nike
Germany,14,Adidas,DF,16,"Jun 3, 1996",RB Leipzig,Lukas Klostermann,2,0,0,0.00,0.00,4.22,4.22,-,-,Nike
Germany,14,Adidas,DF,3,"Apr 22, 1998",RB Leipzig,David Raum,3,0,1,1.11,2.58,1.84,7.37,-,-,Nike
Germany,14,Adidas,DF,20,"Feb 28, 1993",Freiburg,Christian Gunter,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Germany,14,Adidas,DF,23,"Dec 1, 1999",Borussia Dortmund,Nico Schlotterbeck,2,0,0,1.94,0.97,3.87,8.71,-,-,Adidas
Germany,14,Adidas,DF,25,"Dec 11, 2001",Southampton,Armel Bella-Kotchap,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Germany,14,Adidas,MF,6,"Feb 8, 1995",Bayern Munich,Joshua Kimmich,3,0,0,1.67,1.33,1.67,4.67,-,-,Nike
Germany,14,Adidas,MF,11,"Jun 3, 1992",Eintracht Frankfurt,Mario Gotze,2,0,0,1.00,0.00,N.A,N.A,-,-,Nike
Germany,14,Adidas,MF,21,"Oct 24, 1990",Manchester City,Ilkay Gundogan,3,1,0,0.94,0.47,1.41,6.10,-,-,Adidas
Germany,14,Adidas,MF,8,"Feb 6, 1995",Bayern Munich,Leon Goretzka,3,0,0,0.00,0.57,2.83,7.93,-,-,Adidas
Germany,14,Adidas,MF,17,"May 2, 1996",Borussia Dortmund,Julian Brandt,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Germany,14,Adidas,MF,7,"Jun 11, 1999",Chelsea,Kai Havertz,2,2,0,0.00,0.87,0.87,0.87,-,-,Nike
Germany,14,Adidas,MF,14,"Feb 26, 2003",Bayern Munich,Jamal Musiala,3,0,1,10.08,0.35,0.35,9.04,-,-,Nike
Germany,14,Adidas,MF,18,"Jul 14, 1992",Borussia Monchengladbach,Jonas Hofmann,2,0,0,3.21,0.00,0.00,0.00,-,-,Puma
Germany,14,Adidas,FW,13,"Sep 13, 1989",Bayern Munich,Thomas Muller,3,0,0,0.00,0.44,0.89,2.21,-,-,Adidas
Germany,14,Adidas,FW,19,"Jan 11, 1996",Bayern Munich,Leroy Sane,2,0,1,4.09,0.00,0.82,3.87,-,-,Nike
Germany,14,Adidas,FW,10,"Jul 14, 1995",Bayern Munich,Serge Gnabry,3,1,1,1.70,68.00,1.70,3.40,-,-,Adidas
Germany,14,Adidas,FW,24,"Jan 18, 2002",Borussia Dortmund,Karim Adeyemi,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Germany,14,Adidas,FW,9,"Feb 9, 1993",Werder Bremen,Niclas Fullkrug,3,2,1,0.33,0.00,0.00,13.63,-,-,Nike
Germany,14,Adidas,FW,26,"Nov 20, 2004",Borussia Dortmund,Youssoufa Moukoko,1,0,0,0.00,0.00,0.00,0.00,-,-,Nike
Costa Rica,32,New Balance,GK,1,"Dec 15, 1986",PSG,Keylor Navas,3,-,-,-,-,-,-,50%,33%,Adidas
Costa Rica,32,New Balance,GK,18,"Apr 28, 1989",Herediano,Esteban Alvarado,0,-,-,-,-,-,-,-,-,Adidas
Costa Rica,32,New Balance,GK,23,"Mar 1, 1999",Lugo,Patrick Sequeira,0,-,-,-,-,-,-,-,-,Nike
Costa Rica,32,New Balance,DF,8,"Feb 18, 1990",Real Salt Lake,Bryan Oviedo,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Costa Rica,32,New Balance,DF,6,"Jun 3, 1989",Al-Wehda,Oscar Duarte,3,0,0,0.00,2.33,1.33,2.67,-,-,Adidas
Costa Rica,32,New Balance,DF,19,"Jan 1, 1988",Aprissa,Kendall Waston,3,0,0,0.00,2.01,2.81,6.02,-,-,New Balance
Costa Rica,32,New Balance,DF,22,"Jul 9, 1994",Cincinnati,Ronald Matarrita,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Costa Rica,32,New Balance,DF,4,"Jul 12, 1994",Herediano,Keysher Fuller,3,1,0,0.71,0.71,1.77,3.54,-,-,Nike
Costa Rica,32,New Balance,DF,3,"Jun 6, 1995",Millonarios,Juan Pablo Vargas,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Costa Rica,32,New Balance,DF,16,"Mar 30, 1999",San Carlos,Carlos Martinez,1,0,0,0.00,1.96,1.96,5.87,-,-,Nike
Costa Rica,32,New Balance,MF,5,"May 27, 1988",Alajuelense,Celso Borges,3,0,0,0.72,1.79,1.79,6.81,-,-,Nike
Costa Rica,32,New Balance,MF,10,"Aug 18, 1985",Alajuelense,Bryan Ruiz,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Costa Rica,32,New Balance,MF,17,"Mar 17, 1992",Herediano,Yeltsin Tejeda,3,1,1,33.00,0.33,1.33,4.66,-,-,Nike
Costa Rica,32,New Balance,MF,13,"Aug 28, 1997",Herediano,Gerson Torres,1,0,0,0.00,0.00,0.00,11.08,-,-,Nike
Costa Rica,32,New Balance,MF,9,"Jun 15, 2004",Sunderland,Jewison Bennette,3,0,0,3.53,0.00,0.00,2.65,-,-,Nike
Costa Rica,32,New Balance,MF,2,"Apr 11, 2001",Colorado Rapids,Daniel Chacon,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Costa Rica,32,New Balance,MF,14,"Jun 17, 1996",Saprissa,Youstin Salas,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Costa Rica,32,New Balance,MF,24,"May 1, 2002",Municipal Grecia,Roan Wilson,1,0,0,0.00,0.00,0.00,0.00,-,-,Adidas
Costa Rica,32,New Balance,MF,20,"Jun 28, 2003",Nottingham Forest,Brandon Aguilera,3,0,0,N.A,N.A,N.A,N.A,-,-,Nike
Costa Rica,32,New Balance,MF,21,"Sep 21, 1998",Herediano,Douglas Lopez,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Costa Rica,32,New Balance,MF,25,"Oct 11, 2001",Puntarenas,Anthony Hernandez,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Costa Rica,32,New Balance,MF,26,"Mar 9, 2002",Saprissa,Alvaro Zamora,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Costa Rica,32,New Balance,FW,12,"Jun 26, 1992",Leon,Joel Campbell,3,0,0,3.00,0.00,3.00,12.00,-,-,Pima
Costa Rica,32,New Balance,FW,11,"Nov 27, 1988",Alajuelense,Johan Venegas,1,0,0,1.22,0.00,0.00,1.22,-,-,Nike
Costa Rica,32,New Balance,FW,7,"Jan 29, 2000",Herediano,Anthony Contreras,3,0,0,0.00,0.71,3.57,11.43,-,-,Nike
Belgium,4,Adidas,GK,1,"May 11, 1992",Real Madrid,Thibaut Courtois,3,-,-,-,-,-,-,81.82%,67%,Nike
Belgium,4,Adidas,GK,12,"Mar 6, 1988",Club Brugge,Simon Mignolet,0,-,-,-,-,-,-,-,-,Nike
Belgium,4,Adidas,GK,13,"Jun 25, 1992",Wolfsburg,Koen Casteels,0,-,-,-,-,-,-,-,-,Nike
Belgium,4,Adidas,DF,2,"Mar 2, 1989",Antwerp,Toby Alderweireld,3,0,1,0.00,0.00,1.33,2.00,-,-,Nike
Belgium,4,Adidas,DF,3,"May 25, 2000",Rennes,Arthur Theate,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Belgium,4,Adidas,DF,26,"Oct 24, 2003",Anderlecht,Zeno Debast,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Belgium,4,Adidas,DF,5,"Apr 24, 1987",Anderlecht,Jan Vertonghen,3,0,0,0.00,1.67,0.00,9.34,-,-,Nike
Belgium,4,Adidas,DF,4,"Apr 3, 1998",Leicester City,Wout Faes,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Belgium,4,Adidas,DF,21,"Dec 5, 1995",Leicester,Timothy Castagne,3,0,0,0.33,0.67,2.00,4.33,-,-,Adidas
Belgium,4,Adidas,DF,15,"Sep 12, 1991",Borussia Dortmund,Thomas Meunier,3,0,0,0.85,0.85,2.55,5.10,-,-,Adidas
Belgium,4,Adidas,MF,16,"Mar 29, 1993",Borussia Dortmund,Thorgan Hazard,2,0,0,1.70,0.00,2.55,4.25,-,-,Nike
Belgium,4,Adidas,MF,7,"Jun 28, 1991",Manchester City,Kevin De Bruyne,3,0,0,1.67,0.00,0.33,4.33,-,-,Nike
Belgium,4,Adidas,MF,11,"Sep 4, 1993",Atletico Madrid,Yannick Carrasco,2,0,0,2.29,0.76,3.81,6.10,-,-,Nike
Belgium,4,Adidas,MF,19,"Apr 15, 1995",Aston Villa,Leander Dendoncker,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Belgium,4,Adidas,MF,8,"May 7, 1997",Leicester City,Youri Tielemans,3,0,0,0.00,1.91,2.87,7.65,-,-,Nike
Belgium,4,Adidas,MF,20,"Aug 24, 1992",Club Brugge,Hans Vanaken,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Belgium,4,Adidas,MF,6,"Jan 12, 1989",Atletico Madrid,Axel Witsel,3,0,0,0.00,1.33,1.33,5.66,-,-,Puma
Belgium,4,Adidas,MF,22,"Mar 10, 2001",AC Milan,Charles De Ketelaere,1,0,0,N.A,N.A,N.A,N.A,-,-,Adidas
Belgium,4,Adidas,FW,25,"May 27, 2002",Rennes,Jeremy Doku,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Belgium,4,Adidas,FW,10,"Jan 7, 1991",Real Madrid,Eden Hazard,2,0,0,5.04,0.72,0.00,9.36,-,-,Nike
Belgium,4,Adidas,FW,14,"May 6, 1987",Galatasaray,Dries Mertens,2,0,0,1.18,0.00,2.37,3.55,-,-,Nike
Belgium,4,Adidas,FW,17,"Dec 4, 1994",Brighton,Leandro Trossard,3,0,0,3.53,0.00,0.00,1.76,-,-,Adidas
Belgium,4,Adidas,FW,23,"Oct 2, 1993",Fenerbahce,Michy Batshuayi,2,1,0,1.76,0.00,0.59,3.04,-,-,Adidas
Belgium,4,Adidas,FW,24,"Feb 16, 2000",Lens,Lois Openda,1,0,0,1.00,0.00,7.50,N.A,-,-,Adidas
Belgium,4,Adidas,FW,9,"May 13, 1993",Inter,Romelu Lukaku,2,0,0,1.70,0.00,0.00,5.10,-,-,Nike
Cameroon,33,One All Sports,GK,23,"Apr 2, 1996",Inter,Andre Onana,1,-,-,-,-,-,-,66.67%,0%,Adidas
Cameroon,33,One All Sports,GK,16,"Feb 2, 1993",Abha,Davis Epassy,2,-,-,-,-,-,-,75%,50%,Lotto
Cameroon,33,One All Sports,GK,1,"Apr 12, 1993",Marseille,Simon Ngapandouetnbu,0,-,-,-,-,-,-,-,-,Puma
Cameroon,33,One All Sports,DF,24,"Mar 11, 1999",Udinese,Enzo Ebosse,1,0,0,0.00,0.00,4.00,N.A,-,-,Adidas
Cameroon,33,One All Sports,DF,19,"Aug 13, 1992",Al-Tai,Collins Fai,3,0,0,0.33,1.33,1.00,3.10,-,-,Nike
Cameroon,33,One All Sports,DF,17,"Aug 15, 1997",Philadelphia Union,Olivier Mbaizo,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Cameroon,33,One All Sports,DF,21,"Jan 26, 1995",Nantes,Jean Charles Castelletto,2,1,1,0.00,3.00,1.50,6.00,-,-,
Cameroon,33,One All Sports,DF,25,"Jun 23, 1997",Seattle Sounders,Nouhou Tolo,3,0,0,1.67,2.00,3.00,6.33,-,-,Adidas
Cameroon,33,One All Sports,DF,4,"Sept 18, 2001",Rennes,Christopher Wooh,1,0,0,0.00,1.00,2.00,2.00,-,-,Puma
Cameroon,33,One All Sports,MF,22,"Feb 9, 1996",Swansea City,Olivier Ntcham,1,0,0,1.00,0.00,0.00,4.09,-,-,Nike
Cameroon,33,One All Sports,MF,5,"Nov 4, 1995",Hannover,Gael Ondoua,2,0,0,0.00,4.00,4.00,10.00,-,-,Puma
Cameroon,33,One All Sports,MF,15,"Jul 26, 1995",Olympiacos,Pierre Kunde,2,0,0,0.00,2.67,2.67,4.67,-,-,Nike
Cameroon,33,One All Sports,MF,14,"Dec 14, 1997",Mechelen,Samuel Gouet,2,0,0,0.00,0.00,0.91,3.64,-,-,Puma
Cameroon,33,One All Sports,MF,8,"Nov 16, 1995",Napoli,Andre-Frank Zambo Anguissa,3,0,0,1.38,1.72,1.38,6.55,-,-,Adidas
Cameroon,33,One All Sports,MF,2,"Sept 30, 1998",San Diego Loyal SC,Jerome Ngom,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Cameroon,33,One All Sports,FW,6,"Jul 9, 1994",Dynamo Moscow,Moumi Ngamaleu,2,0,0,2.84,0.00,2.84,9.47,-,-,Nike
Cameroon,33,One All Sports,FW,11,"Oct 18, 1995",Shanghai Shenhua,Christian Bassogog,1,0,0,4.00,3.91,0.00,N.A,-,-,Nike
Cameroon,33,One All Sports,FW,20,"Aug 7, 1995",Brentford,Bryan Mbeumo,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Cameroon,33,One All Sports,FW,7,"Feb 13, 1995",Besiktas,Georges-Kevin Nkoudou,2,0,0,1.00,0.00,0.00,3.60,-,-,Nike
Cameroon,33,One All Sports,FW,9,"May 1, 1993",Young Boys,Jean-Pierre Nsame,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Cameroon,33,One All Sports,FW,10,"Jan 22, 1992",Al-Nassr,Vincent Aboubakar,3,2,1,3.83,0.00,0.00,6.39,-,-,Nike
Cameroon,33,One All Sports,FW,12,"Sep 14, 1992",Lyon,Karl Toko Ekambi,3,0,0,2.16,0.54,0.54,3.77,-,-,Nike
Cameroon,33,One All Sports,FW,13,"Mar 23, 1989",Bayern Munich,Eric Maxim Choupo-Moting,3,1,0,2.48,0.35,1.42,10.63,-,-,Puma
Cameroon,33,One All Sports,FW,26,"Dec 3, 2000",Coton Sport de Garoua,Souaibou Marou,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Serbia,29,Puma,GK,1,"January 24, 1992",Sevilla,Marko Dmitrovic,0,-,-,-,-,-,-,-,-,Nike
Serbia,29,Puma,GK,23,"February 20, 1997",Torino,Vanja Milinkovic-Savic,3,,,,,,,65.22%,0%,Nike
Serbia,29,Puma,DF,13,"May 22, 1990",Getafe,Stefan Mitrovic,0,-,-,-,-,-,-,-,-,Nike
Serbia,29,Puma,DF,25,"August 15, 1991",Legia Warsaw,Filip Mladenovic,1,0,0,2.73,0.00,0.00,2.72,-,-,Adidas
Serbia,29,Puma,DF,2,"May 24, 2001",Salzburg,Strahinja Pavlovic,3,1,0,0.38,0.38,3.05,14.11,-,-,Puma
Serbia,29,Puma,DF,5,"September 26, 1995",Werder Bremen,Milos Veljkovic,3,0,0,0.00,0.00,1.21,2.83,-,-,Nike
Serbia,29,Puma,DF,3,"January 22, 2001",Red Star Belgrade,Strahinja Erakovic,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Serbia,29,Puma,DF,16,"April 22, 1996",Almeria,Srdan Babic,1,0,0,0.00,0.00,7.50,7.50,-,-,Nike
Serbia,29,Puma,DF,4,"October 12, 1997",Fiorentina,Nikola Milenkovic,3,0,0,0.00,1.67,3.33,8.00,-,-,Puma
Serbia,29,Puma,MF,8,"November 16, 1991",Sevilla,Nemanja Gudelj,2,0,0,0.00,0.98,1.96,3.91,-,-,Nike
Serbia,29,Puma,MF,17,"November 1, 1992",Juventus,Filip Kostic,2,0,0,1.00,0.00,3.00,3.50,-,-,Nike
Serbia,29,Puma,MF,6,"January 26, 1995",Getafe,Nemanja Maksimovic,3,0,0,0.00,2.27,2.27,3.03,-,-,Puma
Serbia,29,Puma,MF,20,"February 27, 1995",Lazio,Sergej Milinkovic-Savic,3,1,0,1.91,0.76,1.91,6.86,-,-,Nike
Serbia,29,Puma,MF,16,"August 13, 1996",Torino,Sasa Lukic,3,0,0,0.37,0.37,0.73,2.30,-,-,Nike
Serbia,29,Puma,MF,14,"July 11, 1996",PAOK,Andrija Zivkovic,3,0,2,0.42,1.27,2.11,5.50,-,-,Adidas
Serbia,29,Puma,MF,19,"March 17, 1998",Braga,Uros Racic,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Serbia,29,Puma,MF,24,"March 17, 2001",Verona,Ivan Ilic,1,0,0,0.00,2.73,0.00,5.46,-,-,Nike
Serbia,29,Puma,MF,22,"September 15, 1990",Verona,Darko Lazovic,1,0,0,0.00,0.00,0.00,3.75,-,-,Adidas
Serbia,29,Puma,MF,26,"April 13, 1996",Porto,Marko Grujic,1,0,0,1.00,0.00,7.50,N.A,-,-,Nike
Serbia,29,Puma,FW,9,"September 16, 1994",Fulham,Aleksandr Mitrovic,3,2,0,0.34,0.00,0.34,4.45,-,-,Puma
Serbia,29,Puma,FW,18,"January 28, 2000",Juventus,Dusan Vlahovic,2,1,0,1.14,0.00,1.14,7.98,-,-,Nike
Serbia,29,Puma,FW,7,"February 15, 1996",Torino,Nemanja Radonjic,3,0,0,3.16,0.00,0.00,3.16,-,-,Nike
Serbia,29,Puma,FW,21,"January 30, 1992",Sampdoria,Filip Duricic,2,0,0,0.00,0.00,0.00,N.A,-,-,Adidas
Serbia,29,Puma,FW,10,"November 20, 1988",Ajax,Dusan Tadic,3,0,2,2.09,0.35,1.40,3.84,-,-,Nike
Ghana,58,Puma,GK,16,"Feb 8, 1999",Eupen,Manaf Nurudeen,0,-,-,-,-,-,-,-,-,Nike
Ghana,58,Puma,GK,12,"Dec 2, 2002",Asante Kotoko,Danlad Ibrahim,0,-,-,-,-,-,-,-,-,Nike
Ghana,58,Puma,GK,1,"Nov 29, 1996",St. Gellen,Lawrence Ati Zigi,3,-,-,-,-,-,-,58.82%,0%,Adidas
Ghana,58,Puma,DF,3,"May 27, 1988",Club Brugge,Denis Odoi,1,0,0,0.58,0.00,7.50,7.50,-,-,Lotto
Ghana,58,Puma,DF,2,"September 30, 2000",Brighton,Tariq Lamptey,2,0,0,1.76,0.88,3.53,5.29,-,-,Adidas
Ghana,58,Puma,DF,26,"Jun 4, 2000",Clermont,Alidu Seidu,2,0,0,2.31,0.00,3.46,9.81,-,-,Puma
Ghana,58,Puma,DF,18,"Dec 21, 1994",Leicester City,Daniel Amartey,3,0,0,0.33,1.00,2.00,6.00,-,-,Adidas
Ghana,58,Puma,DF,15,"Sep 29, 1995",Celta Vigo,Joseph Aidoo,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Ghana,58,Puma,DF,23,"Aug 9, 1994",Strasbourg,Alexander Djiku,2,0,0,0.00,0.93,0.93,6.50,-,-,Nike
Ghana,58,Puma,DF,4,"Apr 17, 1999",Southampton,Mohammed Salisu,3,1,0,0.00,1.00,0.67,6.34,-,-,Nike
Ghana,58,Puma,DF,17,"Jul 2, 1994",Reading,Abdul-Rahman Baba,3,0,0,1.98,0.49,2.47,6.93,-,-,New Balance
Ghana,58,Puma,DF,14,"Jul 18, 1998",Auxerre,Gideon Mensah,1,0,0,0.00,2.05,1.02,9.20,-,-,Adidas
